GEO_ID,NAME,POPULATION
2164,"Lake and Peninsula Borough, Alaska",1631
1073,"Jefferson County, Alabama",658466
1081,"Lee County, Alabama",140247
1097,"Mobile County, Alabama",412992
5103,"Ouachita County, Arkansas",26120
8005,"Arapahoe County, Colorado",572003
8031,"Denver County, Colorado",600158
11001,"District of Columbia, District of Columbia",601723
12069,"Lake County, Florida",297052
12083,"Marion County, Florida",331298
12086,"Miami-Dade County, Florida",2496435
13051,"Chatham County, Georgia",265128
13089,"DeKalb County, Georgia",691893
13121,"Fulton County, Georgia",920581
13273,"Terrell County, Georgia",9315
16019,"Bonneville County, Idaho",104234
18003,"Allen County, Indiana",355329
18053,"Grant County, Indiana",70061
25021,"Norfolk County, Massachusetts",670850
25025,"Suffolk County, Massachusetts",722023
24005,"Baltimore County, Maryland",805029
24510,"Baltimore city, Maryland",620961
26163,"Wayne County, Michigan",1820584
37063,"Durham County, North Carolina",267587
37077,"Granville County, North Carolina",59916
34019,"Hunterdon County, New Jersey",128349
34021,"Mercer County, New Jersey",366513
34005,"Burlington County, New Jersey",448734
34007,"Camden County, New Jersey",513657
34017,"Hudson County, New Jersey",634266
35035,"Otero County, New Mexico",63797
39035,"Cuyahoga County, Ohio",1280122
39055,"Geauga County, Ohio",93389
39085,"Lake County, Ohio",230041
39155,"Trumbull County, Ohio",210312
42029,"Chester County, Pennsylvania",498886
42033,"Clearfield County, Pennsylvania",81642
42045,"Delaware County, Pennsylvania",558979
42065,"Jefferson County, Pennsylvania",45200
42091,"Montgomery County, Pennsylvania",799874
72063,"Gurabo Municipio, Puerto Rico",45369
45021,"Cherokee County, South Carolina",55342
45055,"Kershaw County, South Carolina",61697
46093,"Meade County, South Dakota",25434
46103,"Pennington County, South Dakota",100948
48215,"Hidalgo County, Texas",774769
51003,"Albemarle County, Virginia",98970
51059,"Fairfax County, Virginia",1081726
51199,"York County, Virginia",65464
51510,"Alexandria city, Virginia",139966
51540,"Charlottesville city, Virginia",43475
51650,"Hampton city, Virginia",137436
51700,"Newport News city, Virginia",180719
51830,"Williamsburg city, Virginia",14068
30019,"Daniels County, Montana",1751
72073,"Jayuya Municipio, Puerto Rico",16642
39173,"Wood County, Ohio",125488
30079,"Prairie County, Montana",1179
24023,"Garrett County, Maryland",30097
8011,"Bent County, Colorado",6499
13081,"Crisp County, Georgia",23439
4027,"Yuma County, Arizona",195751
22019,"Calcasieu Parish, Louisiana",192768
37011,"Avery County, North Carolina",17797
20157,"Republic County, Kansas",4980
49015,"Emery County, Utah",10976
54011,"Cabell County, West Virginia",96319
5081,"Little River County, Arkansas",13171
26049,"Genesee County, Michigan",425790
18153,"Sullivan County, Indiana",21475
72077,"Juncos Municipio, Puerto Rico",40290
20119,"Meade County, Kansas",4575
31139,"Pierce County, Nebraska",7266
6047,"Merced County, California",255793
27025,"Chisago County, Minnesota",53887
48219,"Hockley County, Texas",22935
50011,"Franklin County, Vermont",47746
51036,"Charles City County, Virginia",7256
21029,"Bullitt County, Kentucky",74319
13057,"Cherokee County, Georgia",214346
21171,"Monroe County, Kentucky",10963
48293,"Limestone County, Texas",23384
42053,"Forest County, Pennsylvania",7716
47149,"Rutherford County, Tennessee",262604
51185,"Tazewell County, Virginia",45078
27075,"Lake County, Minnesota",10866
28023,"Clarke County, Mississippi",16732
5147,"Woodruff County, Arkansas",7260
48129,"Donley County, Texas",3677
16017,"Bonner County, Idaho",40877
6109,"Tuolumne County, California",55365
29131,"Miller County, Missouri",24748
28037,"Franklin County, Mississippi",8118
5105,"Perry County, Arkansas",10445
19019,"Buchanan County, Iowa",20958
31077,"Greeley County, Nebraska",2538
29049,"Clinton County, Missouri",20743
6043,"Mariposa County, California",18251
29139,"Montgomery County, Missouri",12236
48321,"Matagorda County, Texas",36702
22095,"St. John the Baptist Parish, Louisiana",45924
28103,"Noxubee County, Mississippi",11545
53051,"Pend Oreille County, Washington",13001
36071,"Orange County, New York",372813
13103,"Effingham County, Georgia",52250
42013,"Blair County, Pennsylvania",127089
72089,"Luquillo Municipio, Puerto Rico",20068
51121,"Montgomery County, Virginia",94392
17089,"Kane County, Illinois",515269
37171,"Surry County, North Carolina",73673
21159,"Martin County, Kentucky",12929
26003,"Alger County, Michigan",9601
24027,"Howard County, Maryland",287085
53025,"Grant County, Washington",89120
13061,"Clay County, Georgia",3183
18015,"Carroll County, Indiana",20155
21163,"Meade County, Kentucky",28602
51075,"Goochland County, Virginia",21717
42047,"Elk County, Pennsylvania",31946
39141,"Ross County, Ohio",78064
21149,"McLean County, Kentucky",9531
13141,"Hancock County, Georgia",9429
72047,"Corozal Municipio, Puerto Rico",37142
48501,"Yoakum County, Texas",7879
31145,"Red Willow County, Nebraska",11055
51167,"Russell County, Virginia",28897
54099,"Wayne County, West Virginia",42481
51157,"Rappahannock County, Virginia",7373
27159,"Wadena County, Minnesota",13843
37005,"Alleghany County, North Carolina",11155
48025,"Bee County, Texas",31861
48329,"Midland County, Texas",136872
45061,"Lee County, South Carolina",19220
47051,"Franklin County, Tennessee",41052
38089,"Stark County, North Dakota",24199
27097,"Morrison County, Minnesota",33198
35045,"San Juan County, New Mexico",130044
48125,"Dickens County, Texas",2444
20159,"Rice County, Kansas",10083
48481,"Wharton County, Texas",41280
47139,"Polk County, Tennessee",16825
21167,"Mercer County, Kentucky",21331
20161,"Riley County, Kansas",71115
27007,"Beltrami County, Minnesota",44442
51800,"Suffolk city, Virginia",84585
53015,"Cowlitz County, Washington",102410
48383,"Reagan County, Texas",3367
17125,"Mason County, Illinois",14666
12107,"Putnam County, Florida",74364
17005,"Bond County, Illinois",17768
19125,"Marion County, Iowa",33309
48269,"King County, Texas",286
56021,"Laramie County, Wyoming",91738
17025,"Clay County, Illinois",13815
9009,"New Haven County, Connecticut",862477
36009,"Cattaraugus County, New York",80317
48387,"Red River County, Texas",12860
2270,"Wade Hampton Census Area, Alaska",7459
48003,"Andrews County, Texas",14786
18109,"Morgan County, Indiana",68894
5119,"Pulaski County, Arkansas",382748
37137,"Pamlico County, North Carolina",13144
13113,"Fayette County, Georgia",106567
5127,"Scott County, Arkansas",11233
29199,"Scotland County, Missouri",4843
28127,"Simpson County, Mississippi",27503
29057,"Dade County, Missouri",7883
21011,"Bath County, Kentucky",11591
55075,"Marinette County, Wisconsin",41749
29159,"Pettis County, Missouri",42201
29165,"Platte County, Missouri",89322
51111,"Lunenburg County, Virginia",12914
41029,"Jackson County, Oregon",203206
17077,"Jackson County, Illinois",60218
51570,"Colonial Heights city, Virginia",17411
19049,"Dallas County, Iowa",66135
39079,"Jackson County, Ohio",33225
45081,"Saluda County, South Carolina",19875
31023,"Butler County, Nebraska",8395
53049,"Pacific County, Washington",20920
13069,"Coffee County, Georgia",42356
48185,"Grimes County, Texas",26604
45077,"Pickens County, South Carolina",119224
31087,"Hitchcock County, Nebraska",2908
47179,"Washington County, Tennessee",122979
13179,"Liberty County, Georgia",63453
48043,"Brewster County, Texas",9232
72137,"Toa Baja Municipio, Puerto Rico",89609
42043,"Dauphin County, Pennsylvania",268100
13251,"Screven County, Georgia",14593
31105,"Kimball County, Nebraska",3821
8097,"Pitkin County, Colorado",17148
18123,"Perry County, Indiana",19338
72087,"Lo?za Municipio, Puerto Rico",30060
51163,"Rockbridge County, Virginia",22307
2198,"Prince of Wales-Hyder Census Area, Alaska",5559
39015,"Brown County, Ohio",44846
47047,"Fayette County, Tennessee",38413
20057,"Ford County, Kansas",33848
26005,"Allegan County, Michigan",111408
17171,"Scott County, Illinois",5355
48141,"El Paso County, Texas",800647
30109,"Wibaux County, Montana",1017
40045,"Ellis County, Oklahoma",4151
13039,"Camden County, Georgia",50513
26121,"Muskegon County, Michigan",172188
19033,"Cerro Gordo County, Iowa",44151
28145,"Union County, Mississippi",27134
48317,"Martin County, Texas",4799
41045,"Malheur County, Oregon",31313
22065,"Madison Parish, Louisiana",12093
5031,"Craighead County, Arkansas",96443
45053,"Jasper County, South Carolina",24777
13259,"Stewart County, Georgia",6058
19041,"Clay County, Iowa",16667
19117,"Lucas County, Iowa",8898
48009,"Archer County, Texas",9054
28055,"Issaquena County, Mississippi",1406
6031,"Kings County, California",152982
13265,"Taliaferro County, Georgia",1717
38021,"Dickey County, North Dakota",5289
